Heading,Review
Best phone ever.,"Before I bought this phone I spend a week researching it and checking all sorts of written and hands on reviews. Im happy to say that it has lived up to them.PROSExcellent battery life, screen real estate, super snappy and very customizable. Decent camera. Fast fingerprint and face unlock features.Note: It has a better battery life than any premium flagship on the market and chsrges faster than them too.Id advise that you pick up the 8gb model with 128 gb ram. More futureproof.ConsNone. If youre buying this phone its understood you arent looking for premium flagship features like ip68 protection or stunning camera quality. That being said, it does pretty well in both departments.Amazon delivered it in less than 20 hours. Amazing service as always."
Briefing about Pros and Cons,"It is indeed the best phone in this price bracket or what you call as a ""Flagship killer"".Ive been using this since a month and would brief the pros and cons :Pros :1. Better display, youll notice when you compare a normal image with anyone elses phone. Everything looks really good.2. Amazing camera. Im sure youll the camera. Dont depend upon portrait mode on low light though.3. Good speakers, the speakers are loud and smooth.4. FACE ID and Touch ID/Fingerprint is astonishingly fast AF.5. Great bandwith, I got better network signals in my place.6. Extremely FAST AF CHARGING.7. Comes with a headphone jack.Cons :1. Since the phone is a bit big, it might not be much handy for you.2. The midnight black material is way too slippery and catches fingerprints so better put on a cover.3. Battery is average .4. Oreo update hasnt come just yet.Hope I was able to clarify all the pros and cons I noticed."
Outstanding and Great Value !!,"Its an outstanding phone, best ever One plus device.Pros:Outstanding job with Battery, it last so well.Screen qualityRAM 8GB habdles anything you throw at it. Zero lag!!Storage is ample with 128 GB.Dashcharge outstanding.Oxygen OS is turned to best now.Face unlock and finger print unlock is amazing.very premium looks.ConsNoneMay be OIS however excellant EIS covers it up.Very Satisfied, suggest 128GB variant as you are future ready for at least three years."
Beast within a Beauty.,"Absolute best in this price range. i bet u wont find anything like this in market.build quality is awesome, hardware is of a beast and looks are of a beauty. NO lags whatsoever. camera quality is also very nice.Support and updates from ONEPLUS are very good.Must buy for those who love big screen with performance of snapdragon 835 & 8 gb ram."
OnePlus 5T rocks,"I was a apple lover.  And used almost every model of iPhone.  But this time I shifted to OnePlus 5T.Wow! What a phone.  Its seriously a beautiful work by the engineers.  Everything is just up to the mark.  The camera is awesome the phone battery last for more than a day. No more lacking of the device, its smooth, super awesome screen.  Just if it would have a stereo speakers and the earphones then it would be 100 out of 100 for me.  Now it just 99..I hope I would get a good service from the OnePlus team.Thanks"
Premium Handset,"Buy if you are looking an all-round Android phone..Supports heavy gaming, photography(take superb low light pictures) and apps( RAM management is awesome).Display is just wow. SUPER sensitive and produce sharp images. The 18:9 screen ratio is just perfect for watching movies!!Has reading mode to read books(helpful those who use Kindle app) without putting any stress on the eyes. Battery life is commendable..last a day on heavy usage.One of the issues- protruding rear camera lenses : please be careful while placing the phone on hard surfaces. Also the phone design is slick- use a good back cover!!!No earphones in the accessories Not water resistant and scratch proof.  Although, it comes with Gorilla Glass 5, few accidental low - level drops wont do any damage to the screen.Using this beast for a month and found no other issues than I mentioned here. Just enjoy the ultimate experience.Peace out!!"
Best Upgrade ever!!!,"Best Smart Phone ever:1) Best Processor.2) Camera is Excellent (especially portrait mode), however low light feature needs to improve because photos still has noises.3) Battery lasts for a day considering that I use Jio 4G, through the day.4) Delivery was apt.5) Light weight as well.6) Charging is so fast, i have not seen a faster charger.7) Overall the best I can have considering I moved from Moto X Play"
finger print unlock and the face unlock which is super super quick,"Reviewing after using for 15 days,Lets begin with the unlock, one gets three options for unlocking the phone, the regular pin code, finger print unlock and the face unlock which is super super quick, its faster then the S8 and iPhone X, though I phone X unlock is better in dark, 5T doesnt open when its dark,Ram- I am using the 6 GB version, which I think is more then enough, it doesnt lags at all, you can check the speed test comparison with other phones in YouTube.Camera- the portrait mode, pro mode is amazing, the only Android phone camera better then 5T is the pixel 2.Overall its the best Android phone absolute on market at this price."
Really! its a Flagship KILLER...,One of the Best Phones i have ever used. The Software is too Fluid and the RAM management is top notch. One of the best buys under 35k.Even if u open 10 tabs Simultaneously all the tabs will be in memory even if u open them after 20 mins.Thank you Oneplus for the great device.
Photos captures in low light are not at all good.,"Placement of Volume rocker on the left side and power button on the right is very inconvenient. Every time I press power button, volume rocker also gets pressed causing volume settings to change unintentionally.Photo captures in low light are not at all good."
Awesome phone in every sense,"Loved this phone. I  dont need to review this because, already so many people have said so much good about this phone. Everything is good camera, battery backup, charging time, screen, looks etc. If you have that much money in your pocket, this is the phone you must choose,"
Simply Superb,"Beauty and the Beast = OnePlus 5T. Already owned an Oneplus 3 for couple of years before I decided to give Oneplus one more change with the 5T. As guessed no regrets. Every thing is easy with this mobile. Considering I got the 8 GB version, it should keep the lags/mis-touches at bay for atleast another couple of years.Please Oneplus dont provide with Buggy updates to make this awesome phone weak over the period of time. We die-hards get oneplus because it is not just value for money but it is peace of mind. Keep up the good work Amazon and OnePlus."
One plus one 5t ...a complete package,"Excellent phone for the price. Most practical and functional. Amazing operating interface. The feel and look is premium, relatively lighter and ergonomically designed. The added feature of face detection is unbelievably fast and beats the premium phones of same feature in the market. Now talking about the picture quality... i really went on to compare few shots taken on this phone with the dslr and was simply spellbound by the quality of pics taken by this phone. The bokeh(portrait) mode pics steals the show. The low light pics taken are astounding. Complete package and value for money. All my 5 stars for this one. One plus manufacturers take a Bow. Add me as a fan in ur club."
"Think before your buy, the sellers are lied!","I have been using this phone for a bit now here is what I have to as a visual content creator.- love the hardware- love a color, pair it with a spegen cover it looks ravishing- Hate the support on insta- upload an image on Instagram the resolution sucks- lot of there bugs that make the phone slow after the Oreo update- low light camera is a myth, the images sucksVerdict: If your buying this phone thinking your saving money, huh no your are not,add few thousand rupees buy a pixel2. Over all if camera is the selling factory plz I am telling you its not a value for money"
Excellent phone for the money,"Phone is excellent. Operations are smooth. Fast and quick to respond. Extremely fast fingerprint sensor ( like the OnePlus 3). Face unlock works very well , even in relatively low light. The bigger screen is a major plus. Display is good and very readable even in sunlight.But the camera could have been better. Thats the only thing not matching up the hype. Good photos under good lighting conditions, but grainy in low light.Too much software beautification. But with the latest patches camera is better."
iPhone to OnePlus,"Was an ardent fan of iPhone for years & was using an iPhone6 for the last 2 years.. so decision on OnePlus5t was a major change & I am glad that I decided to make that call..10 times faster than an iPhone & 100% satisfied with my decision..Everything is synced in full & no impact on my usage atall, infact happier!"
Never Settle for One Plus 5Ts Terribly Mediocre Camera.,"One Plus, a formidable market base in India, with its surprising One Plus 5T launch had hooked many of its customers to this variant.The One Plus 5T is no doubt the best in the market, but I have a few cons Id like to share which largely focuses on Camera and Storage Issues.For starters, when you open the camera and zoom into an object or space, with less light or not, the pictures become pixelated and grainy, which bugs users based on on paper promise by One Plus. And whats worse is that, they dont upgrade the software(which is the least they can do)or fix the issues somehow."
OnePlus have got a winner! - OnePlus 5T,"The way OnePlus have come up with 5T is just amazing! The camera which is the main attraction lives up to the hype! The dimensions of the phone are well defined which makes it very handy rather comfortable to use. Well it doesnt have any extra inbuilt features like samsung because you pay for camera, display which is crisp, hardware (8GB RAM/128GB ROM) & durability! Well battery backup also is unexpectedly remarkable and hence i can say that OnePlus has a winner in their hands! Pay half the price of apples, samsungs and other brands flagship model! I promise you, you will be satisfied!"
One of the Awesome Phone(1+5T),"OnePlus 5T is one of the best smartphones ever Oneplus consists a kind of attitude in young youth.Oneplus 5T every features mindblowing and I am completely a fan of this phone.superb key features of this phone are1.super camera2.fantastic design3.dash charging4.no heat while playing games(one of the best smartphone for gaming lovers)5.edge to edge displayand so many another cool feature consists of OnePlus 5T.One hidden feature of Oneplus is please try (1+=) in your calculator and see magic(#NEVER_SETTLE).And I would like to thanks, Amazon to deliver this product within 20 hours.""NEVER SETTLE"""
"Its not a phone, its a beast.","If you are confused with which variant to choose then let me you, look for how much storage you need. 6/8 GB Ram is more than enough in your day to day use. There are other flagship phones like Google pixel or Samsung Galaxy S8 edge have 4 GB Ram and they are run smoothly without any lag.OnePlus has evolved in last few years and has earned the trust of users. I am using this phone (128 GB) for past 2 weeks and it is whooping fast, thanks to the mighty Snapdragon 835 processorand Andreno 540 GPU.If you are looking for pros and cons then check out detailed reviews on dedicated youtube channels."
it is awesome. Great speed,"Moved from an iPhone to this after 3 years of usage. Except notifications (which is applicable for Android), specially badges, it is awesome. Great speed, good picture quality and good value for money. Maybe a little more focus on the speakers would be great."
Killer always by one plus one..,Superb by one plus ..this is my second phone which is also from one plus ....Camera (both) are fantasticBattery is full of dayHardware and processor is awesomeN one can beat this in this price range..hands on op5t
nice!,"a truely flagship killer. i am an iphone 6s user wanted to switch to android because the iOS nowadays full of bugs and thrashes. Since I decided to switch, I wanted to but Google Pixel 2 XL at first, but its screen is such a messed with full of controversy. So Im here, saving about half of my budget with the same processor specs. Goodjob for the seller, Oneplus, and amazon delivery agent."
"Great Camera, Great Phone!!","A great Phone, Screen is too vibrant and bright and the 2:1 Aspect Ratio maintains everything on point and sharp too!!I am totally impressed by its camera too leaving a great Low Light Camera if switched to Pro Mode for Photography. Lags just a teeny meeny bit from Pixel 2 as it doesnt offer the Selfie Portrait Mode unlike the Pixel 2!An amazing phone, and damn fast too!! Everything gets on with just a snap of an eye!!!I have been using it since only one day and till now the first impressions are amazing!"
Quite satisfy with OnePlus 5T,"I am quite satisfy with OnePlus 5T because of its awesome looks, speedy performance, quick charging, battery backup, good camera (i m not camera freak though). its overall a good package. but there r some points which i dont like:  swiping down to recieve call, no option to delete call log by selection and issues while screen casting to my lloyd led tv. I hope these software related issues will be addressed in their next software update. Apart from these points, this is the best smartphone in this price range. And thanks to Amazon for delivering it in a good package 2 days before the commited date."
The phone is very awesome. Hardware and design is good however it is ...,"The phone is very awesome. Hardware and design is good however it is slippery. User interface is quite good but not as good as IOS. I have switched to Android from IOS, after using IOS four and half year. OS update or not released globally. You will find some works and interface issues during the initial release as always. Fibre one plus software team is very effective on solving issues of software through their community.Camera is good and 18 to 9 ratio is quite amazing. It needs improvement in the Portrait mode."
One Sentence.... IPhone X & Samsung 8 Plus killer.,"The best Cell Phone money can buy, Strongly built, sleek in design, Super fast UI, Amazing Battery life more than a day on singled charge & ultra fast Dash recharging... 8GB Ram & 128 GB Rom is blazing fast & enough... Thank u Oneplus & Amazon."
Go for it !!,"This phone is awesome. If you have the budget just go for it. I love the screen a lot. Am lot more into phone than earlier. Photos are great. I still havent been able to take good low light photos. Battery charges so fast. It took about 20 minutes to charge from 0 to 40%. Once you have charged full , it holds well for a days use.  ( I watched 6 hours of TV series, talked over call for 1 hour and kept my data ON - it lasted a day )You get a basic scratch guard and protective cover along with the phone.I have used the phone for more than 20 days now. I will update the comments once I use it for 6-7 months."
Satisfied. 5T fills the gap. Thumps up to OnePlus team.,Its really an amazing product. Everything is as smooth as butter. Be it the processor or the display. Camera is good but could have been better esp for low light photography. The feature of bokeh effect seems impressive and clicks awesome pictures during daylight.And the best part is the battery and the dash charger.Overall you will not be disappointed with this. Can go forward if looking at this price range. But make sure to also order tempered glass and a back case along with it.
Best phone in the best price.,"What to say.  Nothing beats 1 plus 5t unless u r damm i phone conscious personality.  Buying this phone is like buying woodland shoes which will never get tear apart,  your foot size may increase.  Its high technology is ok to last for another 2 years smoothly."
Bang for the buck!,"Total beast of a phone. Simply bang for the buck..dual sim..dash charge..I switched from an iPhone and Im loving it. Camera is great..Android is super smooth. Oh yes it has an auxjack too so that makes it all the more appealing to me atleast. Good job oneplus, cant wait to upgrade this to Oreo."
Amazing phone at this range.,"Guys I have received this phone 2 days back. I must tell everyone that I am iPhone user from last 3 years but after switching to One Plus 5t, I dont have any regret for that. Even I felt so much happy by using this amazing high speed android.This phone is having lots of amazing features at this range. Its processor is so much fast & os is also user friendly. Camera quality is not far better than iPhone but apart from it, everything is superb.I recommend everyone that if you have this much of budget then go for this phone only."
Excellent phone ?,As expected a brilliant budget limited edition device.Everything works perfectly and the best part about the phone is without doubt the dash charging. It absolutely is 100% true that you get a days charge in just under 30mins. Also you can always use your favourite headphones without the hassle of dongles.
Best Flagship Phone,True Flagship Phone from oneplusExcellent Display QualityUltimate fast fingerprint scanner and face unlockDash charge ultimate fastExcellent CameraDont think too much just purchase this Beast and enjoyReally enjoying using this phone from last 3 days
Super fast processor and high availability of RAM takes it ...,I have used One Plus 5T for over 3 weeks. Here are my viewsPros1. Super fast processor and high availability of RAM takes it super phone.2. Bloat free software. Oxygen OS works brilliantly.3. Best Cameephone andriod phone.4. Battery last a day.4. Charging via Dash charging is super quick. Charges 70% in 20 minutes.5. Display ratio works 18:9 looks stunning.Cons1. Would have preferred to Super AMOLED display instead of HD display.2. 5T should have been released with battery capacity of 4000 MH battery.3. ONE Plus should have got IP68 rated display.
Rank #1 phone of 2017!!!Go buy it!!!,"Awesome phone!!! You cant get better than this at this cost!!!phn works smoothly due to 8gb ram, 128 gb internal memory. Face recognition works better than I phone x, even in low light it works fine. Also phn detects my touch for unlocking the phn. Pics in portrait mode are crisp, super fantastic camera!!!! 18:9 & amoled display gives a good feel while watching vids!!!special thanks to gorilla glass, phn is not complete without this feature.In all this phn is recommended for all!!! I am loving it!!! Hope to get oreo update soon!!!"
I Love This Product,I Love This Product.I Brought it 15 days back and from the first day I started loving it.After using 15 days I am writing this review.Pros :1.Excellent Battery Back up easily comes for 1 day even if you surf the internet and take the photos continuously.2.Super fast charging by dash charging mechanism.3.Camera Quality is Amazing both Front and Real Dual Camera are simply awesome.4.Great finishing and looks beautiful in hand.5.Even though it is 6 Inch but its size as same as 5.5 inch mobile as display covers most of the section.6.Super fast Processing.7.Excellent feature of Face recognition and Finger print unlock is rocket speed.8. Sound is both external and Head phone are loader enough and Quality of output sound is also excellent.Cons :Till found nothing.If you are ready to put more than 30K and not a fan of Apple please go for it.
Absolutely beast !,This phone is absolutely a beast .1 - SD 835 + 8 GB ram is very very snappy2- Face unlock is magical3- camera performance is top notch4- Battery life is great5- Dash charge is quite fastThings I miss1- QHD Screen for better VR performance.
ONEPLUS 5T,Best Phone For Android Users..In hand fill is light and premium..Display is awesome and face unlocking is blazing fast..Super Smooth And Fast Fill Will Using It..BEST PHONE FOR ITS PRICE..(CAMERA ONEPLUS Says Low Light Cameras)BUT ONE THING I NOTICE THAT IN DAYLIGHT/LOWLIGHT BOTH CAMERAS ARE NOT WORKING AT A SAME TIME.. IN NORMAL SHOT (ONLY ONE) CAMERA WORKS ..WHEN I ZOOM THEN SECOND CAMERA COME IN WORK.. AND LOWLIGHT SHOTS ARE NOT THAT GOOD.. Still Giving 5Stars..?
Bought it for the awesome low light photography and the portrait mode,"Bought it for the awesome low light photography and the portrait mode!!Totally happy..These two are the only thing that you cant compare with the likes of motos honors and galaxies!!Functioning is smooth,6GB RAM shows its effect when you play games like ASPHALT 8 & NFS..Overall a good investment!!"
Good phone and a better battery life. Dash charger is a pure bliss.,If you are the owner you know it is the best phone on its price range.1. Big screen size.2. Battery backup and charging3. Camera4. Android experience5. Storage and Ram management6. Snapdragon performance7. Fingerprint unlock and camera unlock is fast.8. Storage is 64 GB and would store enough9. Display is goodThings I did not like1. Too loud speaker2. Camera stabilization3. Speaker placement is bad especially while playing  games4. At this price earpiece should be included in box.
Awesome phone and great service by amazon,"Awesome phone. Had issues with the first order. Amazon was prompt in replacing the mobile. New phone reached me within 3 days.Pros and cons have already been discussed by other customers, but I am totally happy with the product."
OnePlus Beast,"This phone is a bang for buck.. Iam a huge fan of OnePlus as my first product was OnePlus X (beauty).This upgrade is freaking awesome, blazing fast and smooth with this beautiful 6"" screen.A bit excited about Android Oreo update while going through those threads about it.The way I call it is a Beast!!A very big facepalm to those overpriced Smartphone manufacturers.Surely one of the best smartphones of 20th centuryOnePlus anticipating the customers for every upgrade."
Honest Review,"I got this phone about a month back and I am extremely pleased with quality of OP. The phone feels sturdy, well built and strong. However, I think the grip could have been better and I found myself to be worried when using the phone with one hand.Coming to the display, I switched from a LCD display so I was literally mesmerised by the crisp details of an AMOLED.The camera is also one of my favourite things in my 5T it takes extreme details even in low light. But, the potrait mode could have been a bit better.I hope this review helps someone seeking honest advice. Thanks."
"Dont think twice, just go for it. ?","Flawless work on the device. Its the best thing you can have in high end phones.It is super sleek, very comfortable to hold.Doesnt lag or make you wait. The software is rocking.Battery is top of the line. Easy 8 hour screen on time which is very very difficult in any other high end device.Games work beautifully without a hitch. Just loving it.Camera could have been better.. Everything bout Oneplus 5T is just ???"
Great phone it can do any task which we throw ...,Used almost all the phones till now but one plus has made its own branding a unique style with simplicity. Great phone it can do any task which we throw the only downside is the camera algorithms camera is good but after processing in certain cases are quite aggressive which finally results in some cartoonish effect. Rest wil gove 5 stars as software bugs can be resolved. Get the 6gb variant as there is not a big difference between the speed. If one needs extra space then go for the 8gb variant otherwise 6 gb is best.
I am happy with the purchase,"After using for 2 weeks, I am happy with the purchase. UI is very snappy, no lags at all, played multiple games, saw videos - I got good battery back of a day with heavy usage. Call used to drop couple of times and had to struggle to reconnect where my earlier Samsung phone used to work  flawlessly - I hope it is one off case or gets fixed in some updates in future.Only issue I am facing is to carry the bulky charger with me always - due to dash charger and type C cable. OEM OnePlus chargers are very costly."
iPhone Killer For Sure,"I love this phone. I am migrating from iPhone and I never thought I will start using Android again. However, due to the high costs and lack of good reviews of iphone x, I decided to check out Android again.This phone is awesome. It is super fast and is loaded with features. I am still exploring and loving it more and more."
Its a Bea5T,"The best of OnePlus had offered ?? previously I had the OnePlus 3 and that was amazing experience !The latest flagship OnePlus 5t offers the best features for the right budget .Worth for the money dude ?While other brands focus on the technology , user satisfaction and money but for OnePlus technology and the user satisfaction is first ???Camera , Display , speaker , oxygen os , battery and many other features  they are performing well ..I have no issues with it ..Thanks OnePlus ?? online review for OnePlus 5t ..Its a Bea5T?"
Value for money.. buy it!!,This is an awesome phone. Its sleek n beautiful. Dash charging is super fast. Camera quality is amazing. It was packed really nicely. So happy and satisfied with the product.
I Cant Give Anything Less Than 5 Stars :),"This phone is a Beast. I have used Samsung flagship smartphones so far in my life. But recently I felt I am spending lots of money in this apartment and hence I thought of trying out a OnePlus phone. The ""Flagship Killer"". I bought a OnePlus 5 first. Great phone great performance. I used it around 4 months, then this one launched. The OnePlus 5T. I know there is very minimal differences between OnePlus 5 and 5T. Majorly the bigger screen at front. I couldnt resist myself. I love big screens after all thats what I stare at all day. So if the OnePlus 5 had any drawback it was the older look with bigger bezels. So without thinking much I traded my OnePlus 5 for the new OnePlus 5T. And I have no regrets. OnePlus 5T can be arguably the best smartphone of 2017. It got everything, I have the 8GB version, its beast. I feel it never gonna struggle in the performance department it has more power than what it needed. And I love that display. Now its bigger with new aspect ratio. I stated watching all movies on my phone rather the laptop. Still there are some letdowns like the camera. Definitely its very good but not great like some other phones in the market. Thats okay we cant have best of everything. I am totally satisfied with the phone and l would recommend to anyone. If you dont want to spent 80k for an new phone then dont think too much and buy OnePlus 5T because you wont find anything better out here."
Excellent Phone. Worth Buy!!,Pros:1. Looks Premium2. Face unlock is swift3. Camera is exceptional. I mean it!!4. Good Battery back up5. Smooth performance6. Humongous screen. Its a paradise for gamer and video/movie watcher7. Stock android experienceCons:1. Could have bundled headphones in the box2. Still waiting for Oreo update3. Pre-applied screen guard is of not so good qualityIf you are looking for a perfect phone. Go for it!!
Just one word 5T is awesome whether its camera or its performance,"my Previous phone was oneplus 3t phone and i was impressed by it and hence decision to buy 5t - Again very impressed by itOnly Glitch is my 3T was updated to Android 8.0 Oreo and 5t is still on Nougat - weird !I am so spoiled by dash charge of 3T that i couldnt go to any other fast charging phone...Just one word 5T is awesome whether its camera or its performance.But at price of 33k, they must atleast provide slot to expand memory - thats  the only CON i see in this phone...Still five stars to it"
A great upgrade from the OP5,"A great upgrade from the OP5 for someone who uses the phone to read a lot. The only negative downside is that the battery lasts a little less longer (few hours less). However, the benefits outweigh the disadvantages. A great upgrade from the OP5."
Value for money #topnotchof2017,Writing this review after 2 weeks of usage..Battery - last easily upto a day and more (moderate usage)Performance - butter smoothCamera- very crisp and clear even in low light (zooming reduces somehow quality but not an serious issue)Built- slim and handling is easy on handWas very confused to select mobile as dis is d first one plus  company mobile for me .But I did the right choice over Samsung ..Any 1 planning to buy it with having budget 33k go for it without hassle free.
Absolutely rocking,"Superb value for money. Ultra slim design. Superb display. Camera quality superb enough to give my DSLR a tight competition.18:9 format helps reduce the width, thus making it easier to hold, compared to my earlier Nexus 6.8 GB ram is more than what my laptop holds!!!Incredible battery backup.Altogether, superb value for money. Dont think twice to buy this one."
Great Mobile with The Best Features A ...Flagship Mobile Rank #1 Mobile,Thanks to Amazon for fast delivery. This is Really a Flagship MobileProsSuper Camera - both front & rear ...4k and Electronic image stabilization option is awesomeDash Charging - within 40 mins full charge ..battery lasts for almost 1.5 dayPerformance - Snapdragon 835 processor The BeastDesign - Nice look & feelSpecials - Face Lock option The BestCons -Slightly slippery to holdNo headphones in the boxGreat Mobile with The Best Features ...Rank #1 Mobile
One of the best on the market,One of the best phones that I have bought till date. Saw starwars movie last week. Exclusively for oneplus customer with free pop corn and pepsi @ PVR forum. Other companies should think of Thier customers as well
Excellent Camera...Very Fast processor...No no sense phone,Much have been talked about this phone..its pros and cons...I have used all type of phones..from budget to iPhones...but no comparison with camera and fast charger....just excellent...Use these codes for 3 months extended warranty:Coupon code for use on purchase of OnePlus 5T (Midnight Black 6GB RAM + 64GB memory): 65VA-JXVN72-P57VNNCoupon code for use on purchase of OnePlus 5T (Midnight Black 8GB RAM + 128GB memory): FZ6Y-ARNQLG-G93GLP
Superb Value for Money,An excellent phone. I upgraded to oneplus 5T from S5 and the new larger display + increased speed is a breath of fresh air. Great phone and excellent value for money. The Star Wars customization was what tipped the scale for me as I weighed buying a similarly priced android phone from different companies.
Brilliant phone. Really snappy,Brilliant phone. Really snappy. Its been a smooth experience since i bought it. It comes with a pre applied screen protector and and a black translucent back cover as well. Best part is the dash charge.it charges 0 to 100 in around 50 mins. And the battery is big enough to last an entire day.
Awesome phone,"Awsome is the word. Good camera, while in low light it clicks some ok photos. Playing games awesome. Face unlock and finger unlock too is the fastest. Awesome screen. Thank you Amazon and OnePlus for bringing this mobile."
Great Value for Money,"Excellent display. No lags whatsoever.The minimalistic bezel is a great plus in n terms of the design. Great value for money.However, the camera is a bit disappointing. Photos are not that great as compared to those captured in Google Pixel / iPhone X."
Amazing Product with all the specifications at this price,Amazing Product with all the specifications at this price.. no other mobile comes with snapdragons 835 processor at this price. Face unlock is very secure and is very fast.. How ever there are also some deficiencies in the product like1. No front flash for night time selfies2. Phone is not water resistant3. Camera quality not as great as expected4. Battery capacity should have been more
Amazing buy.,Amazing buy... The phone is just too fast and the Amoled display just lights up the phone.Camera is too amazing. The portrait mode provides such great depth to photos that you cant stop clicking them.Video Slo-Mo is great too.The Snapdragon processor 835 is inarguably the best. No heating issues and in fact everything works so smooth.Sleek design makes it look so elegant in your hands. Its a MUST BUY.
Value for money.,The first thing I love in this the screen.I think this the best value for your 33k.Everyone review channel mentioning wireless charging in this device but I think we dont need that charging because my device charge it full in one hour and around.The best thing about 5t is rear camera set up. But about disappointment from front camera because it wont capture in wide angle.But overall its an amazing devise till now experience.
Awesome phone. My previous phone was MI Max,"Posting this review after all most 1 month use. I bought it early prime sale. Awesome phone. My previous phone was MI Max. That was quite big phone.. but I love 5T, user friendly easy to handle. I can feel the change. Only problem which Im facing sudden app close, I dont no whether it is hardware problem or apps. Becoz of this Im giving 4 starts. Cameras are awesome, front facing camera is amazingly clear."
This is an amazing phone with no bloatware unlike others,"Have been a Samsung user throughout before switching to one plus. This is an amazing phone with no bloatware unlike others. I am happy and amazed with the phone with regards to the battery, design and almost everything. One plus has a dedicated team who hears community and work on creating a phone that user wants unlike big brands who works to make more money. Would definitely recommend this phone without a second thought."
Great delivery and exchange experience!,"Recieved the product within 18 hours, and exchange was hassle free. Have only been using the phone for a couple of days now but so far so good! Have only charged the phone for 20 mins in the past 2 days, and the battery is going strong, which is a huge change from the earlier phone!"
Excellent mobile for now and next year,"I have been using mobile over a month now. As of now per inoovation available in market, this has perfect hardware spec and performance. Particularly camera 3d effect. Amazing! As if DSLR is in hand, love to take pics now. Mobile is very fast may due to optimised hardware and 6gb ram. 6in screen with 5.5 inch traditional mobile size, very handy.. finally its thin and low weight..great mobile to own for next 3 yrs, provided Oreo and Android 9 updates are available.."
Best for the price.,"Bought this after exchanging the OP3. I think the display is what makes this phone absolutely magnificent. The battery life is insane! You get minimum 4hrs SOT.Its light, premium and feels good.The camera is average. Yes it is average in low light. To he totally honest, its bad in low light. Even the portrait is meh. Software updates may improve that."
Worth buying it,"Awesome product. Its features are too good. Very sleek and slim mobile, dash charger is one of the best things. Just 30 mins is enough for a full charge. Camera is more than expected, very great pix clarity. Overall, a great satisfaction for the customer."
Top Notch,"Perfect Smartphone with Highest Specifications and smoothest Android Software Experience.Loudspeaker Volume is very high, just Quality of sound is not as good as Pixel Phone(Only Con is No Stereo Speakers.)Extremely happy.Dash Charger......best best bestest ever."
Brilliant Phone,"Brilliant all round phone... Excellent performance, display is superb and a good camera for the price point.. Face unlock works surprisingly awesome"
Nice phone to buy,"Its an awesome phone which has good  performance, good displayBut the camera is fine compared to iPhone or pixel,Amazon delivered it in time"
Good job OnePlus,A great phone indeed. Loved the  camera and the dash charging is great it charges my phone 0 to 100% in less than an hour. 33K worth spent.
Best phone ever,"I brought this phone for my dad on his birthday he paid the bill but girf from me and I must say this is the best phone I had ever seen used in my life . Perfect can describe one plus 5T in one word .My dad always used to say that why these phones are so costly and are they even worth ? I think he got his answer .He loves this phone .The features I think this phone got are -1. Charging speed ,If you never owned a flagship phone in ur life than believe me you would be stund by its charging speed its incredible .But I would point out one thing that the battery life isnt that great but kind of average .2.user interface ,If you love stock Android like I do, you would love one plus 5T.3.Snapdragon 835 is a beast doesnt matter how heavy a game is it would crush it like candy crush .4.Camera .I love its camera its super fast and pexilation is a never seen friend ."
Design ....to the level of  the hype created....,Excellent design...faster performance ..sleek look.Camera yet to use & evaluate...The  two useful features i am missing form my lenovo K4 are ( hope i have searched it enogh ..)1. Flip to screen off2. While the call is in progress & you put the caller on speaker.... speaker again goes off auto as you take phone close to your ear
Mind blowing device.,"The product was delivered on time! The packing was great. Product condition was top notch. Everything about the phone is great. Except maybe the back-facing fingerprint sensor. It works like magic, but I personally dont like a back facing fingerprint. Face unlock Is really fast. Marvellous job by One Plus. A slight heat up in playing really RAM consuming games, but thats understandable. Overall, its a great device ! Certainly go for it."
The best phone in 2017 for the 33k you spend,"Moved from Nexus 6 to One Plus 5T and using this for the last two months.  It is the best bang for the bucks in the price range. The total 33k it is worth in all aspects. People mentioning no IP 67 rating and all should be told that it is just the numbers and I recently used it during a speed boat ride where it was splashed with waves quite so many times and still it runs damn smooth without any issues. Those who pick up this device will be very well aware of the specs and that need not be told. Only thing, please buy a good phone case (even though it ships with one) as the device is slippery and you dont want to see a cracked 18:9 screen soon after you start enjoying those movies on this device."
Very very good phone,Shifted from Iphone 6s to one plus 5T.. was hesitant initially.. But 5T nailed it.. super smooth.. blazing fast.. beautiful phone and great display as well.. did not find any lags/slowness till now.. starting to love this.. Face unlock works just fine.. (Sometimes in rooms with low light it does respond after a few secs except that it works decent ) We anyways have a finger print authentication as a backup.. very good purchase..
AWE-INSPIRING PHONE,"The mobile is awesome.I am in love with it.The phone is a value for money.I would recommend anyone to buy it.The phone never hangs, the camera is awesome.All in all a great phone .THE FACE ID IS DOPE. It is too fast.Thanks to my brother kamaleswar gogoi for recommending it."
Value for money,Get extended warranty by using this code while purchasing. Coupon code for use on purchase of OnePlus 5T (Midnight Black 6GB RAM + 64GB memory): 65ZD-4ZTXN9-LG92HFCoupon code for use on purchase of OnePlus 5T (Midnight Black 8GB RAM + 128GB memory): FZM9-JUKG6R-R5CMZP
