Heading,Review
Outstanding and Great Value !!,"Its an outstanding phone, best ever One plus device.Pros:Outstanding job with Battery, it last so well.Screen qualityRAM 8GB habdles anything you throw at it. Zero lag!!Storage is ample with 128 GB.Dashcharge outstanding.Oxygen OS is turned to best now.Face unlock and finger print unlock is amazing.very premium looks.ConsNoneMay be OIS however excellant EIS covers it up.Very Satisfied, suggest 128GB variant as you are future ready for at least three years."
Beast within a Beauty.,"Absolute best in this price range. i bet u wont find anything like this in market.build quality is awesome, hardware is of a beast and looks are of a beauty. NO lags whatsoever. camera quality is also very nice.Support and updates from ONEPLUS are very good.Must buy for those who love big screen with performance of snapdragon 835 & 8 gb ram."
OnePlus 5T rocks,"I was a apple lover.  And used almost every model of iPhone.  But this time I shifted to OnePlus 5T.Wow! What a phone.  It's seriously a beautiful work by the engineers.  Everything is just up to the mark.  The camera is awesome the phone battery last for more than a day. No more lacking of the device, it's smooth, super awesome screen.  Just if it would have a stereo speakers and the earphones then it would be 100 out of 100 for me.  Now it just 99..I hope I would get a good service from the OnePlus team.Thanks"
Premium Handset,"Buy if you are looking an all-round Android phone..Supports heavy gaming, photography(take superb low light pictures) and apps( RAM management is awesome).**Display is just wow. SUPER sensitive and produce sharp images. The 18:9 screen ratio is just perfect for watching movies!!***Has reading mode to read books(helpful those who use Kindle app) without putting any stress on the eyes.* Battery life is commendable..last a day on heavy usage.***One of the issues- protruding rear camera lenses : please be careful while placing the phone on hard surfaces. Also the phone design is slick- use a good back cover!!!***********No earphones in the accessories************ Not water resistant and scratch proof.  Although, it comes with Gorilla Glass 5, few accidental low - level drops won't do any damage to the screen.Using this beast for a month and found no other issues than I mentioned here. Just enjoy the ultimate experience.Peace out!!"
Best Upgrade ever!!!,"Best Smart Phone ever:1) Best Processor.2) Camera is Excellent (especially portrait mode), however low light feature needs to improve because photos still has noises.3) Battery lasts for a day considering that I use Jio 4G, through the day.4) Delivery was apt.5) Light weight as well.6) Charging is so fast, i have not seen a faster charger.7) Overall the best I can have considering I moved from Moto X Play"
finger print unlock and the face unlock which is super super quick,"Reviewing after using for 15 days,Let's begin with the unlock, one gets three options for unlocking the phone, the regular pin code, finger print unlock and the face unlock which is super super quick, it's faster then the S8 and iPhone X, though I phone X unlock is better in dark, 5T doesn't open when it's dark,Ram- I am using the 6 GB version, which I think is more then enough, it doesn't lags at all, you can check the speed test comparison with other phones in YouTube.Camera- the portrait mode, pro mode is amazing, the only Android phone camera better then 5T is the pixel 2.Overall it's the best Android phone absolute on market at this price."
Really! its a Flagship KILLER...,One of the Best Phones i have ever used. The Software is too Fluid and the RAM management is top notch. One of the best buys under 35k.Even if u open 10 tabs Simultaneously all the tabs will be in memory even if u open them after 20 mins.Thank you Oneplus for the great device.
Photos captures in low light are not at all good.,"Placement of Volume rocker on the left side and power button on the right is very inconvenient. Every time I press power button, volume rocker also gets pressed causing volume settings to change unintentionally.Photo captures in low light are not at all good."
Awesome phone in every sense,"Loved this phone. I  don't need to review this because, already so many people have said so much good about this phone. Everything is good camera, battery backup, charging time, screen, looks etc. If you have that much money in your pocket, this is the phone you must choose,"
Battery is good enough. 4/5 2,"Pros :1. Battery is good enough. 4/52. Dash Charging is awesome. 4.5/53. Low Light Photography is Super. 4/54. Performance is good. 4.5/55. Cameras are good. 3.5/5Cons :1. Battery is good enough could be much better.2. Dash Charging is awesome but charges slowly after 90%3. Low Light Photography is not great in all lighting conditions.4. Pictures sharpness and details are poor with some painting effects sometimes.5. Even though powered with high end processor it is not blazing fast when loading apps.6. Easily gets dust and Color goes off not a great finish.Verdict : Everything is Good but Color Fades and Goes Off, could be a better Finish"
No words for it- simply awesome,"Amazing phone. Using it for more than one year now. Key features that makes it a standout - Perfect screen size vis-a-vis phone dimensions (e.g. many 5.5 inch phones are of same size almost but this gives higher screen size on the same phone area) } Camera is outstanding (both front and back with flash) | 8 GB RAM and 128 GB ROM - you dont need anything for couple of years now - fill it up as much as you can , use all the apps in parallel and the speed isnt droppingPrice is perfect for this rangeFinally, the touchsensor and face detection is just awesome ! Nuff said"
Best flagship at this price point...!,Excellent mobile phone at price point...! As I was an IOS user in the past and for my personal experience this mobile doesn't disappoint me in any aspect... If anyone looking for phone with pure Android experience and No lag interface and with good processing power I personal recommend people to buy this phone...! Only negativity is no IP67 rating for water n dust proof...! Other than than it's worth it...!
Review after 15 days of using phone,Amazing phone !!!1. Great Camera2. Fast face unlock and finger print scanner3. Great performance no lag what so ever4. Dash charging works great5. Beautiful displayI am using this phone after using iPhone 6sPlus for 2 yearsAnd i have not mistaken about going for this phone.
Lightning fast is an understatement,"The phone works in a blaze. Of course. The juggernaut has 8GB ram on a snapdragon processor. The camera is beyond par the best camera available in android market. The only time Oneplus will slow a bit down would be when its rendering 4k videos (but hey, so do your heavy built laptops. And besides, how many times in a month do you actually render a 4k video?) . Although I-phone X does win in a VERY few aspects, a point to remember is that jitna dono phone ke prices mei farq hai utne mei ek naya I phone 7+ aa jaayega. Oneplus is worth every buck. It comes along with a cover and an already installed screenguard which means you save another 600-1000 bucks. Headphones? Try skullcandy, work like butter with the phone."
Good flagship,"The phone is good, performance is good, speed is good, no heating issue and battery life is excellent. But, only thing I have disappointed is facial unlock. as mentioned in the description, ""Just look and unlockFacial Recognition-Unlock by just looking at the device; fast fingerprint sensor which unlocks in under 0.2 seconds."", we have to turn on the phone then only is is unlocking thru Facial Recognition."
"One Word -"" THE BEST PHONE I HAVE EVER USED TILL NOW ""","Super value for money . The best flagship killer phone .PROS :-  Awesome Display , Killer Looks , Super Awesome Sound via speakers , Fake Scanner Rocks and interface is buttery smooth and super dash charger is charging my phone from 10% to 80% in 30 mins. ONLYCons :- Battery backup is average BUT it will easily last through complete one working day."
Writing After heavy usage [BEAST],"Purchased on release date and received within a day. After heavy use I'm writing this, phone was awesome in overall. less time on charge and more time on hands and I tried playing some heavy games system works absolutely fine no issue found and main important thing is no heating issue.. Camera: Soo responsive and loving the protriat mode.. Soo guys you can go for it... :)"
Buy it forget everything else... It's dat gud,Loving it.. much faster so much smoother. I still haven't gotten used to the large screen and sometimes the notification tab drops down when I accidentally brush my finger against the sensor. The phone did hang and restart once when I switched on Bluetooth for transferring. Did not try to replicate. The camera is also quite good and gives a nice touch in the portrait mode. On closer look one can definitely note the software portraiting and not hardware. I am not a music guy so no comment on the head phone area. The speaker is loud enough but I feel the ear piece is bit dampened. Display is also really crisp. No complaints on that section.All in all it's worth a buy. For 39000 it's by far the best phone I have had.
Awesome.. just go for it,Excellent mobile.8gb ram and 128 internal memory with snapdragon chipset makes this mobile  fast and unique.Facial unlock is superb. Very fast.Very slim in design.Display is good. Audio output is good comparably. camera is awesome. Charging is fast.Other popular brand will sell this config mobile for more than 80k. Worth for money.I would recommend it. Just go for it.
Awesome phone,"Awsome is the word. Good camera, while in low light it clicks some ok photos. Playing games awesome. Face unlock and finger unlock too is the fastest. Awesome screen. Thank you Amazon and OnePlus for bringing this mobile."
Great Value for Money,"Excellent display. No lags whatsoever.The minimalistic bezel is a great plus in n terms of the design. Great value for money.However, the camera is a bit disappointing. Photos are not that great as compared to those captured in Google Pixel / iPhone X."
Amazing Product with all the specifications at this price,Amazing Product with all the specifications at this price.. no other mobile comes with snapdragons 835 processor at this price. Face unlock is very secure and is very fast.. How ever there are also some deficiencies in the product like1. No front flash for night time selfies2. Phone is not water resistant3. Camera quality not as great as expected4. Battery capacity should have been more
Amazing buy.,Amazing buy... The phone is just too fast and the Amoled display just lights up the phone.Camera is too amazing. The portrait mode provides such great depth to photos that you can't stop clicking them.Video Slo-Mo is great too.The Snapdragon processor 835 is inarguably the best. No heating issues and in fact everything works so smooth.Sleek design makes it look so elegant in your hands. Its a MUST BUY.
Value for money.,The first thing I love in this the screen.I think this the best value for your 33k.Everyone review channel mentioning wireless charging in this device but I think we don't need that charging because my device charge it full in one hour and around.The best thing about 5t is rear camera set up. But about disappointment from front camera because it won't capture in wide angle.But overall it's an amazing devise till now experience.
Awesome phone. My previous phone was MI Max,"Posting this review after all most 1 month use. I bought it early prime sale. Awesome phone. My previous phone was MI Max. That was quite big phone.. but I love 5T, user friendly easy to handle. I can feel the change. Only problem which I'm facing sudden app close, I don't no whether it is hardware problem or apps. Becoz of this I'm giving 4 starts. Cameras are awesome, front facing camera is amazingly clear."
This is an amazing phone with no bloatware unlike others,"Have been a Samsung user throughout before switching to one plus. This is an amazing phone with no bloatware unlike others. I am happy and amazed with the phone with regards to the battery, design and almost everything. One plus has a dedicated team who hears community and work on creating a phone that user wants unlike big brands who works to make more money. Would definitely recommend this phone without a second thought."
Great delivery and exchange experience!,"Recieved the product within 18 hours, and exchange was hassle free. Have only been using the phone for a couple of days now but so far so good! Have only charged the phone for 20 mins in the past 2 days, and the battery is going strong, which is a huge change from the earlier phone!"
Excellent mobile for now and next year,"I have been using mobile over a month now. As of now per inoovation available in market, this has perfect hardware spec and performance. Particularly camera 3d effect. Amazing! As if DSLR is in hand, love to take pics now. Mobile is very fast may due to optimised hardware and 6gb ram. 6in screen with 5.5 inch traditional mobile size, very handy.. finally it's thin and low weight..great mobile to own for next 3 yrs, provided Oreo and Android 9 updates are available.."
Best for the price.,"Bought this after exchanging the OP3. I think the display is what makes this phone absolutely magnificent. The battery life is insane! You get minimum 4hrs SOT.It's light, premium and feels good.The camera is average. Yes it is average in low light. To he totally honest, it's bad in low light. Even the portrait is meh. Software updates may improve that."
AWE-INSPIRING PHONE,"The mobile is awesome.I am in love with it.The phone is a value for money.I would recommend anyone to buy it.The phone never hangs, the camera is awesome.All in all a great phone .THE FACE ID IS DOPE. It is too fast.Thanks to my brother kamaleswar gogoi for recommending it."
Value for money,Get extended warranty by using this code while purchasing. Coupon code for use on purchase of OnePlus 5T (Midnight Black 6GB RAM + 64GB memory): 65ZD-4ZTXN9-LG92HFCoupon code for use on purchase of OnePlus 5T (Midnight Black 8GB RAM + 128GB memory): FZM9-JUKG6R-R5CMZP
Awesome Phone!!,"Awesome Phone, very sleek, light in weight, has all the nice features, screen size is good. Face unlock is a breeze!!! works perfectly every time. Only downside (may be for me) is the vibration strength is a bit on the lower side, even set to the strongest, that can definitely be improved, so that we dont miss calls. Else, if you are looking for a 6inch screen and good value for money, this is the phone to buy, not required to compare with any other model at all."
Powerful and beautifully designed,"Good phone... Using from almost about a month... Extreme gaming, extreme surfing and movies.... Beautifully designed and extremely powerfull...Was expecting oroe update in December itself but seems one+ is going to take their time for that..."
Never Settle One Plus,My first one plus device. I got it on first primw day sale and review after 2 day of usage.Battery 9/10Screen 10/10Sound 9/10 (I'm big fan of Dolby atmos sound missing it)Awsome gaming experience.No heating problem.Various LEDs.Fast performance.I'm in love with it.Buy it if your budget is 30-40kYou won't regret.
"Worth every penny for its software, speed and battery. Don't expect too much from camera.",6gb ram model is enough.. If planning to buy 8 gb ram model then take a look at Google pixel 2. In good lighting condition photos are good. You will see the painting effect in some pics.Secondary rear camera is rarely used as it comes in action in low light scenarios.Still it is fastest device in the list.
Just wow??,"I am using this phone around a month now and I am totally amazed by its features. I bought this phone from amazon at a price of 33000 Rupees.Talking about performance, this phone has Snapdragon 835 octa core processor. Multitasking on this phone is very easy and smooth. No lagging issues are there while switching between different apps..."
Good to buy,R you looking for speedy and long battery phone?This is right for youI had one plus one and now one plus five.Very impressive performance and specs
My one plus 5T phone,"I have used other phones like Samsung, Lenovo & Motorola. But this one plus 5T stands apart from all of them. Very smooth performance. Camera is excellent. No warming up of phone even after long time use. I was deciding on to get whether iphone 7 or one plus 5T. But then my choice went to oneplus 5T. Nice phone!"
5T - T for TERRIFIC ?,Hands down it is one of the best phones of 2017..No other phone can match the performance of this device.It's suuuper FAST.. If you're looking for a new phone ? in this price range.. I would clearly recommend you to buy 5T.And pls don't call it FLAGSHIP KILLER.. It is a FLAGSHIP but at Affordable price that's all ??
Has to be the best Android phone out there,"The best thing about the phone is the stock Android experience which doesnt lag during any task. Cameras are good, looks elegant, runs smoothly. I guess thats pretty much anyone wants, so go for it without thinking."
The phone is just awesome and the working very fine,I received the order 1 day early. The phone is just awesome and the working very fine. Its worth every penny you spend on it. Probably the best phone that i have ever used.
Superb Phone at great price,"Excellent camera, super fast processer, excellent screen resolution, colours and clarity. Very light weight phone. Internet browsing in very fast, speakers are good..... Excellent phone to purchase at 33k price.....One Plus has done a fantastic job"
Super,"Simply brilliant. Display is great, performance even better but what I like the most is the dash charge, especially given I am upgrading from OnePlus one. Wish they had bundled a better quality case with it, the curret one catches smudges like a magnet. But surely a flagship killer at less than half of what a lesser specced, unnecessarily hyped premium phone costs."
"Best phone, I have ever used till now","Best phone , I have ever used till now.To fast in processing, camera is awesome, battery lightening charging. What else you can expect out of this phone.mow onwards one plus will be my choice when it comes to mobile.dont even think twice if u r planning to buy."
The BEST phone out there!!!,"True value for money if u want a premium smartphone at this price!!!It's fast, responsive and the camera is too good.Facial unlock is just wow and unlocks the device very quickly.Dash charge is a blessing and u have a day's long battery within no time."
One plus 5t and note 8 are awesome and I have both,"I have a note 8 deep sea blue 128gb, but my star wars one plus 5t is awesome as well."
Go for it.. Happy clicking !!,"Feedback in A.in way.. really liked the customer obsession as it got delivered before estimated date. Buying this phone is such a great experience especially camera n interface , didn't like the face recognition for unlocking phone as it sometimes won't work. With the dash charger , the phone will get charge in an hr around.. fabulous tech exp it iss!! Amazing phone in this price range..Go for it !!"
Awesomeness in a sexy package!,"Wow. Just plain and simple.. wow! Had a one plus X before this, bought the 5t on exchange and man oh man am I floored by the performance and capabilities of this phone. The camera especially is amazing, much better than the 3t"
Powerful and elegant,Moved from iPhone to one plus . Was bit apprehensive in the beginning but now I have started to like it . Battery backup is way better than iPhone and easily lasts a day . Camera is awesome and outdoor shots are equivalent to any mid level DSLR. Overall happy so far .
